Alarm ID,Subsystem,Alarm Description,Priority,Status,TimeCounter
ALM-0001,Safety,Emergency Stop Pressed,Critical,Active,1
ALM-0002,TES Tank,TES SoC Low,Warning,Acknowledged,2
ALM-0003,Sensors,Flowmeter Signal Loss,Warning,Active,3
ALM-0004,ORC,ORC Heat Exchanger Temperature Low,Warning,Active,4
ALM-0005,TES Tank,TES Top Temp High,Critical,Acknowledged,5
ALM-0006,Pumps,Pump Cavitation Detected (NPSH Low),Major,Acknowledged,6
ALM-0008,Edge Agent,OTA Update Failed,Minor,Active,8
ALM-0009,Safety,Emergency Stop Pressed,Critical,Cleared,9
ALM-0010,Controls,PLC Communication Timeout,Critical,Cleared,10
ALM-0011,Pumps,Pump Cavitation Detected (NPSH Low),Major,Cleared,11
ALM-0012,ORC,ORC Heat Exchanger Temperature Low,Warning,Acknowledged,12
ALM-0013,ORC,ORC Overspeed Trip,Critical,Active,13
ALM-0014,ORC,ORC Overspeed Trip,Critical,Active,14
ALM-0015,ORC,Working Fluid Low Level,Major,Acknowledged,15
ALM-0016,Pumps,Pump Motor Overload,Major,Cleared,16
ALM-0017,ORC,ORC Condensing Pressure High,Critical,Cleared,17
ALM-0018,Sensors,Flowmeter Signal Loss,Warning,Active,18
ALM-0020,Pumps,Pump Motor Overload,Major,Acknowledged,20
ALM-0021,ORC,ORC Overspeed Trip,Critical,Active,21
ALM-0022,TES Tank,TES Stratification Loss,Warning,Cleared,22
ALM-0023,Pumps,Pump Motor Overload,Major,Acknowledged,23
ALM-0024,Sensors,Flowmeter Signal Loss,Warning,Acknowledged,24
ALM-0025,Solar Loop,HTF Over-Temperature,Major,Acknowledged,25
ALM-0026,Bypass Cooler,Valve Failed to Open,Major,Cleared,26
ALM-0027,ORC,ORC Condensing Pressure High,Critical,Acknowledged,27
ALM-0028,Edge Agent,MQTT Broker Disconnect,Warning,Active,28
ALM-0029,TES Tank,TES Level Low,Major,Cleared,29
ALM-0030,TES Tank,TES Top Temp High,Critical,Acknowledged,30
ALM-0031,ORC,ORC Condensing Pressure High,Critical,Active,31
ALM-0032,Sensors,Flowmeter Signal Loss,Warning,Acknowledged,32
ALM-0033,TES Tank,TES Stratification Loss,Warning,Active,33
ALM-0034,Pumps,Pump Cavitation Detected (NPSH Low),Major,Cleared,34
ALM-0035,Solar Loop,HTF Over-Temperature,Major,Active,35
ALM-0036,Controls,PLC Communication Timeout,Critical,Active,36
ALM-0037,Controls,PLC Communication Timeout,Critical,Acknowledged,37
ALM-0038,Pumps,Pump Motor Overload,Major,Acknowledged,38
ALM-0039,Solar Loop,HTF Over-Temperature,Major,Acknowledged,39
ALM-0040,Safety,Emergency Stop Pressed,Critical,Cleared,40
ALM-0041,Pumps,Pump Motor Overload,Major,Acknowledged,41
ALM-0042,ORC,ORC Overspeed Trip,Critical,Acknowledged,42
ALM-0044,IT Cooling,Rack Inlet Temp High,Critical,Acknowledged,44
ALM-0045,TES Tank,TES SoC Low,Warning,Cleared,45
ALM-0046,TES Tank,TES Top Temp High,Critical,Cleared,46
ALM-0047,Safety,Emergency Stop Pressed,Critical,Active,47
ALM-0048,TES Tank,TES SoC Low,Warning,Active,48
ALM-0049,TES Tank,TES Level Low,Major,Acknowledged,49
ALM-0050,IT Cooling,Rack Inlet Temp High,Critical,Cleared,50
ALM-0051,Solar Loop,HTF Over-Temperature,Major,Cleared,51
ALM-0052,Controls,PLC Communication Timeout,Critical,Acknowledged,52
ALM-0054,TES Tank,TES SoC Low,Warning,Acknowledged,54
ALM-0055,Edge Agent,OTA Update Failed,Minor,Acknowledged,55
ALM-0056,ORC,ORC Condensing Pressure High,Critical,Cleared,56
ALM-0057,Controls,PLC Communication Timeout,Critical,Active,57
ALM-0058,IT Cooling,Rack Inlet Temp High,Critical,Acknowledged,58
ALM-0059,Pumps,Pump Cavitation Detected (NPSH Low),Major,Acknowledged,59
ALM-0060,Safety,Emergency Stop Pressed,Critical,Cleared,60
ALM-0061,ORC,ORC Overspeed Trip,Critical,Active,61
ALM-0063,ORC,ORC Condensing Pressure High,Critical,Active,63
ALM-0064,TES Tank,TES SoC Low,Warning,Acknowledged,64
ALM-0065,TES Tank,TES Level Low,Major,Acknowledged,65
ALM-0066,Edge Agent,OTA Update Failed,Minor,Active,66
ALM-0067,Bypass Cooler,Valve Failed to Open,Major,Acknowledged,67
ALM-0068,Pumps,Pump Motor Overload,Major,Active,68
ALM-0069,ORC,ORC Condensing Pressure High,Critical,Active,69
ALM-0070,Controls,PLC Communication Timeout,Critical,Acknowledged,70
ALM-0071,TES Tank,TES Level Low,Major,Cleared,71
ALM-0072,ORC,ORC Overspeed Trip,Critical,Cleared,72
ALM-0073,ORC,ORC Condensing Pressure High,Critical,Active,73
ALM-0074,ORC,Working Fluid Low Level,Major,Cleared,74
ALM-0075,Solar Loop,HTF Over-Temperature,Major,Active,75
ALM-0077,TES Tank,TES Top Temp High,Critical,Cleared,77
ALM-0078,Edge Agent,OTA Update Failed,Minor,Acknowledged,78
ALM-0080,IT Cooling,Rack Inlet Temp High,Critical,Acknowledged,80
ALM-0081,TES Tank,TES Top Temp High,Critical,Cleared,81
ALM-0082,TES Tank,TES SoC Low,Warning,Active,82
ALM-0084,TES Tank,TES Stratification Loss,Warning,Acknowledged,84
ALM-0085,Solar Loop,HTF Over-Temperature,Major,Acknowledged,85
ALM-0086,Pumps,Pump Motor Overload,Major,Acknowledged,86
ALM-0087,Edge Agent,MQTT Broker Disconnect,Warning,Cleared,87
ALM-0088,ORC,Working Fluid Low Level,Major,Acknowledged,88
ALM-0089,Pumps,Pump Motor Overload,Major,Active,89
ALM-0090,Controls,PLC Communication Timeout,Critical,Cleared,90
ALM-0091,Bypass Cooler,Valve Failed to Open,Major,Cleared,91
ALM-0092,ORC,ORC Condensing Pressure High,Critical,Active,92
ALM-0093,Edge Agent,OTA Update Failed,Minor,Acknowledged,93
ALM-0094,ORC,ORC Condensing Pressure High,Critical,Acknowledged,94
ALM-0095,IT Cooling,Rack Inlet Temp High,Critical,Acknowledged,95
ALM-0096,TES Tank,TES Level Low,Major,Cleared,96
ALM-0097,TES Tank,TES Level Low,Major,Cleared,97
ALM-0098,ORC,Working Fluid Low Level,Major,Cleared,98
ALM-0099,Edge Agent,OTA Update Failed,Minor,Cleared,99
ALM-0100,TES Tank,TES SoC Low,Warning,Active,100
ALM-0101,Controls,PLC Communication Timeout,Critical,Acknowledged,101
ALM-0102,Edge Agent,OTA Update Failed,Minor,Cleared,102
ALM-0103,TES Tank,TES SoC Low,Warning,Acknowledged,103
ALM-0104,Pumps,Pump Cavitation Detected (NPSH Low),Major,Active,104
ALM-0106,ORC,ORC Condensing Pressure High,Critical,Cleared,106
ALM-0107,Pumps,Pump Motor Overload,Major,Acknowledged,107
ALM-0108,Controls,PLC Communication Timeout,Critical,Active,108
ALM-0109,TES Tank,TES Top Temp High,Critical,Cleared,109
ALM-0110,Sensors,Flowmeter Signal Loss,Warning,Acknowledged,110
ALM-0111,Safety,Emergency Stop Pressed,Critical,Acknowledged,111
ALM-0112,Pumps,Pump Cavitation Detected (NPSH Low),Major,Cleared,112
ALM-0113,TES Tank,TES SoC Low,Warning,Cleared,113
ALM-0114,Safety,Emergency Stop Pressed,Critical,Acknowledged,114
ALM-0115,Pumps,Pump Cavitation Detected (NPSH Low),Major,Active,115
ALM-0117,ORC,ORC Heat Exchanger Temperature Low,Warning,Active,117
ALM-0118,IT Cooling,Rack Inlet Temp High,Critical,Cleared,118
ALM-0119,ORC,ORC Heat Exchanger Temperature Low,Warning,Acknowledged,119
ALM-0120,Edge Agent,MQTT Broker Disconnect,Warning,Acknowledged,120
ALM-0121,TES Tank,TES Stratification Loss,Warning,Cleared,121
ALM-0122,TES Tank,TES SoC Low,Warning,Cleared,122
ALM-0123,Edge Agent,MQTT Broker Disconnect,Warning,Active,123
ALM-0125,Solar Loop,HTF Over-Temperature,Major,Cleared,125
ALM-0126,IT Cooling,Rack Inlet Temp High,Critical,Active,126
ALM-0127,Pumps,Pump Cavitation Detected (NPSH Low),Major,Cleared,127
ALM-0128,ORC,ORC Heat Exchanger Temperature Low,Warning,Cleared,128
ALM-0129,ORC,ORC Overspeed Trip,Critical,Active,129
ALM-0130,TES Tank,TES Top Temp High,Critical,Acknowledged,130
ALM-0131,Safety,Emergency Stop Pressed,Critical,Active,131
ALM-0132,TES Tank,TES Stratification Loss,Warning,Cleared,132
ALM-0133,ORC,ORC Overspeed Trip,Critical,Acknowledged,133
ALM-0134,Bypass Cooler,Valve Failed to Open,Major,Cleared,134
ALM-0135,Controls,PLC Communication Timeout,Critical,Cleared,135
ALM-0136,Edge Agent,OTA Update Failed,Minor,Acknowledged,136
ALM-0139,TES Tank,TES Level Low,Major,Acknowledged,139
ALM-0140,IT Cooling,Rack Inlet Temp High,Critical,Active,140
ALM-0141,ORC,Working Fluid Low Level,Major,Acknowledged,141
ALM-0142,TES Tank,TES Stratification Loss,Warning,Cleared,142
ALM-0143,Sensors,Flowmeter Signal Loss,Warning,Active,143
ALM-0144,Edge Agent,OTA Update Failed,Minor,Active,144
ALM-0145,TES Tank,TES Stratification Loss,Warning,Acknowledged,145
ALM-0146,TES Tank,TES Top Temp High,Critical,Cleared,146
ALM-0147,Edge Agent,MQTT Broker Disconnect,Warning,Active,147
ALM-0148,ORC,ORC Overspeed Trip,Critical,Acknowledged,148
ALM-0149,ORC,Working Fluid Low Level,Major,Active,149
ALM-0150,TES Tank,TES Top Temp High,Critical,Cleared,150
ALM-0151,ORC,ORC Condensing Pressure High,Critical,Cleared,151
ALM-0152,TES Tank,TES Top Temp High,Critical,Cleared,152
ALM-0154,Sensors,Flowmeter Signal Loss,Warning,Acknowledged,154
ALM-0155,ORC,ORC Overspeed Trip,Critical,Active,155
ALM-0156,ORC,ORC Heat Exchanger Temperature Low,Warning,Cleared,156
ALM-0157,ORC,ORC Overspeed Trip,Critical,Active,157
ALM-0158,ORC,Working Fluid Low Level,Major,Cleared,158
ALM-0159,ORC,Working Fluid Low Level,Major,Cleared,159
ALM-0160,Bypass Cooler,Valve Failed to Open,Major,Acknowledged,160
ALM-0161,Bypass Cooler,Valve Failed to Open,Major,Active,161
ALM-0162,Solar Loop,HTF Over-Temperature,Major,Cleared,162
ALM-0163,Controls,PLC Communication Timeout,Critical,Cleared,163
ALM-0164,TES Tank,TES Level Low,Major,Cleared,164
ALM-0165,TES Tank,TES Level Low,Major,Acknowledged,165
ALM-0166,Edge Agent,OTA Update Failed,Minor,Acknowledged,166
ALM-0167,Bypass Cooler,Valve Failed to Open,Major,Acknowledged,167
ALM-0168,TES Tank,TES Top Temp High,Critical,Active,168
ALM-0169,Edge Agent,MQTT Broker Disconnect,Warning,Active,169
ALM-0171,Solar Loop,HTF Over-Temperature,Major,Active,171
ALM-0172,TES Tank,TES Level Low,Major,Acknowledged,172
ALM-0173,Safety,Emergency Stop Pressed,Critical,Cleared,173
ALM-0174,TES Tank,TES Stratification Loss,Warning,Cleared,174
ALM-0175,Pumps,Pump Motor Overload,Major,Cleared,175
ALM-0176,Bypass Cooler,Valve Failed to Open,Major,Cleared,176
ALM-0177,ORC,ORC Overspeed Trip,Critical,Cleared,177
ALM-0178,ORC,ORC Condensing Pressure High,Critical,Acknowledged,178
ALM-0179,IT Cooling,Rack Inlet Temp High,Critical,Acknowledged,179
ALM-0180,Controls,PLC Communication Timeout,Critical,Active,180
ALM-0181,IT Cooling,Rack Inlet Temp High,Critical,Active,181
ALM-0182,Bypass Cooler,Valve Failed to Open,Major,Acknowledged,182
ALM-0183,Sensors,Flowmeter Signal Loss,Warning,Active,183
ALM-0184,TES Tank,TES Stratification Loss,Warning,Acknowledged,184
ALM-0186,ORC,ORC Condensing Pressure High,Critical,Cleared,186
ALM-0187,ORC,ORC Overspeed Trip,Critical,Cleared,187
ALM-0188,Edge Agent,MQTT Broker Disconnect,Warning,Cleared,188
ALM-0189,Edge Agent,MQTT Broker Disconnect,Warning,Acknowledged,189
ALM-0190,Sensors,Flowmeter Signal Loss,Warning,Cleared,190
ALM-0191,ORC,ORC Heat Exchanger Temperature Low,Warning,Cleared,191
ALM-0192,Safety,Emergency Stop Pressed,Critical,Cleared,192
ALM-0193,IT Cooling,Rack Inlet Temp High,Critical,Cleared,193
ALM-0194,Edge Agent,MQTT Broker Disconnect,Warning,Cleared,194
ALM-0195,Pumps,Pump Motor Overload,Major,Active,195
ALM-0196,Solar Loop,HTF Over-Temperature,Major,Active,196
ALM-0197,Edge Agent,OTA Update Failed,Minor,Active,197
ALM-0198,TES Tank,TES Stratification Loss,Warning,Acknowledged,198
ALM-0199,ORC,ORC Overspeed Trip,Critical,Active,199
ALM-0200,Pumps,Pump Cavitation Detected (NPSH Low),Major,Acknowledged,200
ALM-0201,ORC,ORC Overspeed Trip,Critical,Acknowledged,201
ALM-0202,Bypass Cooler,Valve Failed to Open,Major,Acknowledged,202
ALM-0203,ORC,ORC Heat Exchanger Temperature Low,Warning,Cleared,203
ALM-0204,TES Tank,TES Stratification Loss,Warning,Cleared,204
ALM-0205,ORC,ORC Overspeed Trip,Critical,Cleared,205
ALM-0206,Edge Agent,OTA Update Failed,Minor,Acknowledged,206
ALM-0208,TES Tank,TES Level Low,Major,Active,208
ALM-0209,IT Cooling,Rack Inlet Temp High,Critical,Cleared,209
ALM-0210,Edge Agent,MQTT Broker Disconnect,Warning,Active,210
ALM-0211,Solar Loop,HTF Over-Temperature,Major,Cleared,211
ALM-0212,ORC,ORC Heat Exchanger Temperature Low,Warning,Cleared,212
ALM-0213,TES Tank,TES Stratification Loss,Warning,Cleared,213
ALM-0214,ORC,ORC Condensing Pressure High,Critical,Cleared,214
ALM-0215,Edge Agent,MQTT Broker Disconnect,Warning,Acknowledged,215
ALM-0216,ORC,ORC Heat Exchanger Temperature Low,Warning,Acknowledged,216
ALM-0217,Sensors,Flowmeter Signal Loss,Warning,Active,217
ALM-0218,ORC,Working Fluid Low Level,Major,Cleared,218
ALM-0220,ORC,ORC Condensing Pressure High,Critical,Active,220
ALM-0221,IT Cooling,Rack Inlet Temp High,Critical,Acknowledged,221
ALM-0222,Bypass Cooler,Valve Failed to Open,Major,Acknowledged,222
ALM-0224,Controls,PLC Communication Timeout,Critical,Acknowledged,224
ALM-0225,Pumps,Pump Cavitation Detected (NPSH Low),Major,Acknowledged,225
ALM-0226,TES Tank,TES SoC Low,Warning,Active,226
ALM-0227,TES Tank,TES Stratification Loss,Warning,Cleared,227
ALM-0228,Solar Loop,HTF Over-Temperature,Major,Cleared,228
ALM-0229,ORC,Working Fluid Low Level,Major,Cleared,229
ALM-0230,ORC,ORC Condensing Pressure High,Critical,Active,230
ALM-0231,Edge Agent,OTA Update Failed,Minor,Cleared,231
ALM-0233,Edge Agent,MQTT Broker Disconnect,Warning,Acknowledged,233
ALM-0234,Edge Agent,OTA Update Failed,Minor,Cleared,234
ALM-0235,TES Tank,TES SoC Low,Warning,Acknowledged,235
ALM-0236,Edge Agent,MQTT Broker Disconnect,Warning,Cleared,236
ALM-0237,Safety,Emergency Stop Pressed,Critical,Cleared,237
ALM-0238,Edge Agent,OTA Update Failed,Minor,Active,238
ALM-0239,Pumps,Pump Motor Overload,Major,Active,239
ALM-0240,Bypass Cooler,Valve Failed to Open,Major,Acknowledged,240
ALM-0242,TES Tank,TES Top Temp High,Critical,Acknowledged,242
ALM-0243,Sensors,Flowmeter Signal Loss,Warning,Cleared,243
ALM-0245,Pumps,Pump Motor Overload,Major,Cleared,245
ALM-0246,ORC,Working Fluid Low Level,Major,Cleared,246
ALM-0247,IT Cooling,Rack Inlet Temp High,Critical,Acknowledged,247
ALM-0248,Safety,Emergency Stop Pressed,Critical,Cleared,248
ALM-0249,Sensors,Flowmeter Signal Loss,Warning,Acknowledged,249
ALM-0251,TES Tank,TES SoC Low,Warning,Active,251
ALM-0253,Sensors,Flowmeter Signal Loss,Warning,Cleared,253
ALM-0254,ORC,ORC Overspeed Trip,Critical,Active,254
ALM-0255,Safety,Emergency Stop Pressed,Critical,Cleared,255
ALM-0256,Sensors,Flowmeter Signal Loss,Warning,Acknowledged,256
ALM-0257,IT Cooling,Rack Inlet Temp High,Critical,Acknowledged,257
ALM-0258,ORC,ORC Overspeed Trip,Critical,Cleared,258
ALM-0260,IT Cooling,Rack Inlet Temp High,Critical,Active,260
ALM-0261,TES Tank,TES Level Low,Major,Cleared,261
ALM-0263,Pumps,Pump Cavitation Detected (NPSH Low),Major,Acknowledged,263
ALM-0265,Pumps,Pump Cavitation Detected (NPSH Low),Major,Active,265
ALM-0266,TES Tank,TES Level Low,Major,Active,266
